Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000590,2020,77,48.6312605,2.6288041,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000591,2020,94,48.76068,2.38272,5.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,90.0,10.0,10.0,19.0,1
202000000591,2020,94,48.76068,2.38272,5.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,90.0,10.0,10.0,19.0,0
202000000592,2020,94,48.82743,2.52511,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000592,2020,94,48.82743,2.52511,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,0
202000000592,2020,94,48.82743,2.52511,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,110.0,7.0,10.0,19.0,1
202000000593,2020,972,14.5977318,-60.9988403,5.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,3.0,90.0,7.0,10.0,17.0,1
202000000594,2020,972,14.6179767,-61.032663,3.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,90.0,7.0,10.0,16.0,0
202000000594,2020,972,14.6179767,-61.032663,3.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,90.0,7.0,10.0,16.0,1
202000000594,2020,972,14.6179767,-61.032663,3.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,90.0,7.0,10.0,16.0,1
202000000610,2020,88,48.190266,5.764925,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000610,2020,88,48.190266,5.764925,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,1
202000000610,2020,88,48.190266,5.764925,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,1
202000000610,2020,88,48.190266,5.764925,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,0
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,1
202000000612,2020,38,45.576441,5.637274,1.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,130.0,7.0,8.0,26.0,1
202000000613,2020,60,49.216111,2.627642,1.0,1.0,6.0,1.0,5.0,1.0,1.0,7.0,1.0,130.0,7.0,8.0,26.0,1
202000000628,2020,13,43.502142,5.407764,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,7.0,8.0,25.0,1
202000000628,2020,13,43.502142,5.407764,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,7.0,8.0,25.0,1
202000000628,2020,13,43.502142,5.407764,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,7.0,8.0,25.0,0
202000000628,2020,13,43.502142,5.407764,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,7.0,8.0,25.0,1
202000000628,2020,13,43.502142,5.407764,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,70.0,7.0,8.0,25.0,1
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,0
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,0
